OACI,CIAD,Nome,Município,Longitude,Latitude,Operação,Altitude,Rampa de Aproximação,Formato da Área de Pouso,Dimensões,Resistência,Superfície,Validade do Registro,Portaria de Registro,Link
SIMM,SP0529,Edifício Corporate Park,SÃO PAULO,"046°40'20,0""O","23°35'14,8""S",VFR Diurna/Noturna,,8,Quadrado,22m x 22m,,Concreto,19/08/2021,PA2018-3970,https://pergamum.anac.gov.br/arquivos/PA2018-3970.pdf
SNVO,SP0733,Vigor,SÃO PAULO,"046°36'14,0""O","23°31'59,0""S",VFR Diurna/Noturna,,30,Quadrado,21m x 21m,,Concreto,12/02/2025,PA2019-0178,https://pergamum.anac.gov.br/arquivos/PA2019-0178.pdf
SSUF,SP0884,Rede D'Or São Luiz Anália Franco,SÃO PAULO,"046°33'30,0""O","23°32'56,0""S",VFR Diurna/Noturna,,24,Quadrado,21m x 21m,,Concreto,,,
SDNR,SP0391,Banco Santander,SÃO PAULO,"046°42'50,0""O","23°39'08,0""S",VFR Diurna/Noturna,,9 27,Quadrado,21m x 21m,,Concreto,24/09/2023,PA2018-0644,https://pergamum.anac.gov.br/arquivos/PA2018-0644.pdf
SNIL,SP0847,HBR Lead Corporate Faria Lima,SÃO PAULO,"046°40'48,5""O","23°35'31,2""S",VFR Diurna/Noturna,,6 24,Quadrado,20m x 20m,,Metálico,,,
SDSX,SP0420,ITM Expo,SÃO PAULO,"046°44'42""O","23°31'37,0""S",VFR Diurna/Noturna,,1,Quadrado,24m x 24m,,Metálico,04/07/2022,PA2012-1322,https://pergamum.anac.gov.br/arquivos/PA2012-1322.pdf
SDAX,SP0293,Bradesco - Sta Cecília,SÃO PAULO,"046°38'57,0""O","23°32'24,0""S",VFR Diurna/Noturna,,2 30,Quadrado,20m x 20m,,Metálico,04/08/2021,PA2011-1499,https://pergamum.anac.gov.br/arquivos/PA2011-1499.pdf
SSUH,SP0781,Helinorte,SÃO PAULO,"046°34'50,0""O","23°24'54,0""S",VFR Diurna,,21,Quadrado,18m x 18m,,Concreto,23/06/2026,PA2016-1569,https://pergamum.anac.gov.br/arquivos/PA2016-1569.pdf
SDMN,SP0385,Continental Tower,SÃO PAULO,"046°41'57,0""O","23°36'06,0""S",VFR Diurna/Noturna,,13 34,Quadrado,30m x 30m,,Concreto,02/05/2023,PA2016-1331,https://pergamum.anac.gov.br/arquivos/PA2016-1331.pdf
SDEL,SP0319,Condomínio Edifício Spazio JK,SÃO PAULO,"046°41'08,0""O","23°35'28,0""S",VFR Diurna/Noturna,,15 36,Quadrado,21m x 21m,,Concreto,06/03/2023,PA2017-0153,https://pergamum.anac.gov.br/arquivos/PA2017-0153.pdf
SDEZ,SP0324,Unibanco Eusébio Matoso,SÃO PAULO,"046°41'56,0""O","23°34'21,0""S",VFR Diurna/Noturna,,1 19,Quadrado,23m x 23m,,Concreto,17/04/2023,PA2013-0980,https://pergamum.anac.gov.br/arquivos/PA2013-0980.pdf
SDFM,SP0327,DJY,SÃO PAULO,"046°41'07,0""O","23°35'51,0""S",VFR Diurna/Noturna,,3,Quadrado,18m x 18m,,Concreto,24/07/2024,PA2014-1676,https://pergamum.anac.gov.br/arquivos/PA2014-1676.pdf
SDFP,SP0329,Folha de São Paulo,SÃO PAULO,"046°38'45,0""O","23°32'16,0""S",VFR Diurna,,8 23,Quadrado,18m x 18m,,Concreto,06/03/2023,PA2013-0573,https://pergamum.anac.gov.br/arquivos/PA2013-0573.pdf
SDFV,SP0331,Federação Paulista de Futebol,SÃO PAULO,"046°40'01,9""O","23°31'18,0""S",VFR Diurna/Noturna,,16,Quadrado,18m x 18m,,Metálico,06/01/2021,PA2011-0009,https://pergamum.anac.gov.br/arquivos/PA2011-0009.pdf
SDFW,SP0332,Condomínio Edifício San Paolo,SÃO PAULO,"046°41'16,0""O","23°34'30,0""S",VFR Diurna/Noturna,,8 23,Quadrado,21m x 21m,,Concreto,04/03/2023,PA2013-1286,https://pergamum.anac.gov.br/arquivos/PA2013-1286.pdf
SDGG,SP0335,Aché Faria Lima,SÃO PAULO,"046°41'39,0""O","23°33'39,0""S",VFR Diurna/Noturna,,24,Quadrado,21m x 21m,,Concreto,11/03/2021,PA2011-0453,https://pergamum.anac.gov.br/arquivos/PA2011-0453.pdf
SDGS,SP0339,Bertolucci,SÃO PAULO,"046°40'49,0""O","23°35'08,0""S",VFR Diurna/Noturna,,9 36,Quadrado,18m x 18m,,Concreto,,,
SDGW,SP0340,JKFC,SÃO PAULO,"046°40'29,0""O","23°35'12,0""S",VFR Diurna/Noturna,,5 28,Quadrado,21m x 21m,,Concreto,06/03/2023,PA2013-0571,https://pergamum.anac.gov.br/arquivos/PA2013-0571.pdf
SDHI,SP0345,Hospital Gastroclínica,SÃO PAULO,"046°39'06,0""O","23°35'42,0""S",VFR Diurna/Noturna,,3 18,Quadrado,21m x 21m,,Metálico,22/02/2021,PA2011-0333,https://pergamum.anac.gov.br/arquivos/PA2011-0333.pdf
SDHQ,SP0347,Shopping Leste Aricanduva,SÃO PAULO,"046°30'17,0""O","23°34'03,0""S",VFR Diurna,,7 34,Quadrado,18m x 18m,,Asfalto,07/10/2023,PA2013-2598,https://pergamum.anac.gov.br/arquivos/PA2013-2598.pdf
SDHT,SP0348,Cetenco Plaza - Torre Norte,SÃO PAULO,"046°39'27,3""O","23°33'31,9""S",VFR Diurna,,2,Quadrado,18m x 18m,,Concreto,26/04/2022,PA2013-1293,https://pergamum.anac.gov.br/arquivos/PA2013-1293.pdf
SDHV,SP0349,Hospital Albert Einstein,SÃO PAULO,"046°42'55,0""O","23°36'01,0""S",VFR Diurna/Noturna,,6,Quadrado,19.5m x 19.5m,,Concreto,18/07/2023,PA2013-1854,https://pergamum.anac.gov.br/arquivos/PA2013-1854.pdf
SDHW,SP0350,Hospital Bandeirantes,SÃO PAULO,"046°38'05,2""O","23°33'27,4""S",VFR Diurna/Noturna,,22,Quadrado,18m x 18m,,Metálico,,,https://pergamum.anac.gov.br/arquivos/PA2013-0802.pdf
SDAP,SP0290,Hospital Paulistano,SÃO PAULO,"046°38'32,2""O","23°33'54,9""S",VFR Diurna/Noturna,,31,Quadrado,21.7m x 21.7m,,Concreto,03/05/2022,PA2013-1290,https://pergamum.anac.gov.br/arquivos/PA2013-1290.pdf
SDAT,SP0291,Hospital e Maternidade Vitória,SÃO PAULO,"046°33'42,0""O","23°33'47,0""S",VFR Diurna/Noturna,793,9,Quadrado,21.0m x 21.0 m,5,Concreto,,PA2011-0666,https://pergamum.anac.gov.br/arquivos/PA2011-0666.pdf
SDAW,SP0292,Banco Industrial,SÃO PAULO,"046°41'08,0""O","23°35'31,0""S",VFR Diurna,,13,Quadrado,20.0m x 20.0m,4,Metálico,,PA2013-0724,https://pergamum.anac.gov.br/arquivos/PA2013-0724.pdf
SDBF,SP0295,Porto Seguro,SÃO PAULO,"046°38'43,2""O","23°31'49,4""S",VFR Diurna/Noturna,,3 24,Quadrado,20.55m x 20.55m,,Metálico,10/12/2022,,https://pergamum.anac.gov.br/arquivos/PA2012-2684.pdf
SDBH,SP0296,Bandeirantes,SÃO PAULO,"046°42'38,6""O","23°35'42,6""S",VFR Diurna,,2 12,Quadrado,18.0m x 18.0m,3,Concreto,,,https://pergamum.anac.gov.br/arquivos/PA2014-0485.pdf
SDBL,SP0297,BFC,SÃO PAULO,"046°39'15,0""O","23°33'44,0""S",VFR Diurna/Noturna,,17 32,Quadrado,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2015-0289.pdf
SDBM,SP0298,Beneficência Portuguesa,SÃO PAULO,"046°38'29,0""O","23°34'04,0""S",VFR Diurna/Noturna,848,28,Quadrado,20.0m x 20.0m,4,Metálico,,,https://pergamum.anac.gov.br/arquivos/PA2012-1826.pdf
SDBR,SP0299,REC Berrini,SÃO PAULO,"046°41'40,0""O","23°36'30,0""S",VFR Diurna/Noturna,NULL,28,Quadrado,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2014-0064.pdf
SDBS,SP0300,Os Bandeirantes,SÃO PAULO,"046°41'14,0""O","23°34'34,0""S",VFR Diurna/Noturna,786,26,Quadrado,18.0m x 18.0m,3,Concreto,30/11/2021,PA2015-1858,https://pergamum.anac.gov.br/arquivos/PA2015-1858.pdf
SDBW,SP0302,Banespa República,SÃO PAULO,"046°38'40,0""O","23°32'37,0""S",VFR Diurna,NULL,16 29,Quadrado,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2012-1074.pdf
SDCV,SP0306,Citibank,SÃO PAULO,"046°39'13,0""O","23°33'54,0""S",VFR Diurna/Noturna,,24 36,Quadrado,19.6m x 19.6m,,Metálico,08/07/2021,,
SDCY,SP0307,Camargo Corrêa,SÃO PAULO,"046°41'16,0""O","23°35'30,0""S",VFR Diurna/Noturna,,16,Quadrado,30m x 30m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2016-0187.pdf
SDDH,SP0309,Birmann 29,SÃO PAULO,"046°40'52,3""O","23°35'19,4""S",VFR Diurna/Noturna,,27,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2013-1288.pdf
SDDP,SP0310,Delta Plaza,SÃO PAULO,"046°38'45,0""O","23°34'03,0""S",VFR Diurna,,24,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDDS,SP0311,Sucupira,SÃO PAULO,"046°42'12,0""O","23°37'27,0""S",VFR Diurna/Noturna,,22,Quadrado,26m x 26m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2018-2626.pdf
SDEA,SP0313,Edifício HSBC Tower,SÃO PAULO,"046°41'02,0""O","23°34'59,0""S",VFR Diurna/Noturna,,14,Quadrado,20.5m x 20.5m,,Concreto,01/10/2023,,
SDVU,SP0437,Conde Francisco Matarazzo,SÃO PAULO,"046°39'10,3""O","23°33'48,4""S",VFR Diurna/Noturna,,24,Quadrado,24m x 24m,,Concreto,14/09/2025,,
SDWB,SP0440,CYK,SÃO PAULO,"046°39'06,0""O","23°33'58,0""S",VFR Diurna/Noturna,,35,Quadrado,21m x 21m,,Concreto,,,
SDXQ,SP0445,Internacional Plaza II,SÃO PAULO,"046°40'56,2""O","23°35'28,2""S",VFR Diurna/Noturna,,16 34,Quadrado,21m x 21m,,Concreto,16/10/2022,,
SDYA,SP0449,Carmo Couri,SÃO PAULO,"046°41'07,0""O","23°35'48,0""S",VFR Diurna,,14,Quadrado,18m x 18m,,Concreto,13/02/2023,,
SDYO,SP0451,Hospital Santa Marcelina,SÃO PAULO,"046°27'41,2""O","23°33'13,4""S",VFR Diurna/Noturna,,25,Quadrado,19.5m x 19.5m,,Concreto,12/04/2022,,
SDYR,SP0453,Panco II,SÃO PAULO,"046°41'58,0""O","23°35'58,0""S",VFR Diurna,,17,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2014-0530.pdf
SDYV,SP0454,SECOVI,SÃO PAULO,"046°38'54,0""O","23°36'13,0""S",VFR Diurna/Noturna,,12 32,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2015-0337.pdf
SDYZ,SP0455,Kuka,SÃO PAULO,"046°36'04,9""O","23°34'09,0""S",VFR Diurna,,18 36,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2013-3242.pdf
SDZR,SP0460,SESI-FIESP,SÃO PAULO,"046°39'16,9""O","23°33'49,5""S",VFR Diurna/Noturna,,5,Quadrado,20m x 20m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SIBB,SP0465,Edifício Comendador Alberto Bonfiglioli,SÃO PAULO,"046°39'07,0""O","23°33'52,0""S",VFR Diurna/Noturna,,27,Quadrado,20m x 20m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SIBG,SP0466,Banco Induscred,SÃO PAULO,"046°39'20,9""O","23°33'51,8""S",VFR Diurna/Noturna,,9,Quadrado,19.8m x 19.8m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SIBH,SP0467,Helicidade,SÃO PAULO,"046°44'13,0""O","23°32'48,0""S",VFR Diurna/Noturna,,2 17,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SIBS,SP0470,E-Business Bosque,SÃO PAULO,"046°42'37,0""O","23°30'43,0""S",VFR Diurna/Noturna,,35,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SICZ,SP0477,Edifício Comercial Lorena,SÃO PAULO,"046°39'20,3""O","23°34'24,2""S",VFR Diurna/Noturna,,1,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SIDA,SP0478,Edifício Dakota,SÃO PAULO,"046°41'01,0""O","23°35'40,0""S",VFR Diurna/Noturna,,27,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SIDE,SP0479,Polícia Federal,SÃO PAULO,"046°42'16,0""O","23°30'41,0""S",VFR Diurna/Noturna,,17 35,Quadrado,26m x 26m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDHY,SP0351,Edifício São Luís Gonzaga,SÃO PAULO,"046°39'40,1""O","23°33'24,1""S",VFR Diurna/Noturna,,16,Quadrado,20.5m x 20.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDIT,SP0357,Itaú NPD Paulista,SÃO PAULO,"046°39'29,0""O","23°34'36,0""S",VFR Diurna/Noturna,,4 14,Quadrado,,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDIW,SP0358,Edifício São Paulo Trade Building,SÃO PAULO,"046°41'22,0""O","23°35'39,0""S",VFR Diurna/Noturna,,10,Quadrado,,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDJP,SP0365,Igreja Mundial do Poder de Deus - IMPD,SÃO PAULO,"046°37'14,7""O","23°33'03,0""S",VFR Diurna/Noturna,,36,Quadrado,22.5m x 22.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDKG,SP0371,Francisco Mellão,SÃO PAULO,"046°41'19,0""O","23°35'37,0""S",VFR Diurna/Noturna,,9 24,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDKM,SP0373,Hotel Emiliano,SÃO PAULO,"046°39'55,0""O","23°33'58,0""S",VFR Diurna/Noturna,,15 36,Quadrado,19.5m x 19.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDKT,SP0375,Edifício Dacon,SÃO PAULO,"046°41'02,0""O","23°34'50,0""S",VFR Diurna/Noturna,,15 35,Quadrado,19.5m x 19.5m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDKV,SP0377,Rede Globo,SÃO PAULO,"046°41'49,0""O","23°36'53,0""S",VFR Diurna/Noturna,,3,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDKY,SP0379,Hospital das Clínicas,SÃO PAULO,"046°40'09,4""O","23°33'29,0""S",VFR Diurna/Noturna,,4,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDLB,SP0380,Metropolitan Office,SÃO PAULO,"046°40'57,7""O","23°34'52,3""S",VFR Diurna/Noturna,,15 30,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDMT,SP0386,Banco Bradesco Av. Paulista,SÃO PAULO,"046°39'18""O","23°33'44,0""S",VFR Diurna/Noturna,,18,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDNP,SP0390,Condomínio Conde Matarazzo,SÃO PAULO,"046°38'15,5""O","23°32'51,6""S",VFR Diurna/Noturna,,9,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDOC,SP0392,Hospital do Coração,SÃO PAULO,"046°38'35,0""O","23°34'23,0""S",VFR Diurna/Noturna,,12 35,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDOF,SP0393,Edifício Palladio,SÃO PAULO,"046°41'08,0""O","23°35'41,0""S",VFR Diurna/Noturna,,9,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDNN,SP0389,Birmann 21,SÃO PAULO,"046°42'08,2""O","23°33'55,3""S",VFR Diurna/Noturna,,6 22,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SDON,SP0397,Ônix,SÃO PAULO,"046°43'20,0""O","23°33'05,0""S",VFR Diurna/Noturna,,1 16,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,https://pergamum.anac.gov.br/arquivos/PA2015-0704.pdf
SDOT,SP0399,Attilio Tinelli,SÃO PAULO,"046°41'37,0""O","23°36'09,0""S",VFR Diurna/Noturna,,29,Quadrado,19.5m x 19.5m,,Concreto,19/08/2021,,
SDPK,SP0402,Panco I,SÃO PAULO,"046°29'41,7""O","23°31'40,9""S",VFR Diurna/Noturna,,14,Quadrado,"19.3m x 19,3m",,Concreto,04/09/2022,,
SDPL,SP0403,Ibirapuera Park Hotel Ltda,SÃO PAULO,"046°38'58,0""O","23°35'34,0""S",VFR Diurna/Noturna,,2 22,Quadrado,19.5m x 19.5m,,Concreto,19/08/2021,,
SDPM,SP0404,Palácio dos Bandeirantes,SÃO PAULO,"046°42'47,0""O","23°36'02,0""S",VFR Diurna/Noturna,,6 27,Quadrado,30m x 30m,Aguardando dados,Aguardando dados,Aguardando dados,PA2013-2823,https://pergamum.anac.gov.br/arquivos/PA2013-2823.pdf
SDPO,SP0405,Plaza Centenário,SÃO PAULO,"046°41'45,0""O","23°36'19,0""S",VFR Diurna,,13,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2013-0388,https://pergamum.anac.gov.br/arquivos/PA2013-0388.pdf
SDPT,SP0407,Parque Paulista,SÃO PAULO,"046°39'33,0""O","23°33'37,0""S",VFR Diurna/Noturna,,8,Quadrado,19.5m x 19.5m,,Concreto,25/01/2023,,
SDQP,SP0410,Parque Cultural Paulista,SÃO PAULO,"046°38'44,0""O","23°34'18,0""S",VFR Diurna/Noturna,,12 33,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2016-2470,https://pergamum.anac.gov.br/arquivos/PA2016-2470.pdf
SDRB,SP0414,Renaissance Hotel,SÃO PAULO,"046°39'44,0""O","23°33'32,0""S",VFR Diurna/Noturna,,14 35,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2014-0533,https://pergamum.anac.gov.br/arquivos/PA2014-0533.pdf
SDRN,SP0415,Zarzur,SÃO PAULO,"046°41'31,0""O","23°34'12,0""S",VFR Diurna/Noturna,,20,Quadrado,23m x 23m,Aguardando dados,Aguardando dados,Aguardando dados,,
SDTC,SP0422,Edifício Edel Trade Center,SÃO PAULO,"046°39'38,0""O","23°36'09,0""S",VFR Diurna/Noturna,,15 35,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2014-0868,https://pergamum.anac.gov.br/arquivos/PA2014-0868.pdf
SDTN,SP0426,REC Berrini TNU,SÃO PAULO,"046°41'48,1""O","23°36'28,9""S",VFR Diurna/Noturna,,13,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2014-0327,https://pergamum.anac.gov.br/arquivos/PA2014-0327.pdf
SDTU,SP0428,Itaúsa,SÃO PAULO,"046°38'30,0""O","23°38'11,0""S",VFR Diurna/Noturna,,3 14,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,PA2013-0272,https://pergamum.anac.gov.br/arquivos/PA2013-0272.pdf
SDUI,SP0430,Centro Empresarial Iudice,SÃO PAULO,"046°41'41,0""O","23°30'49,0""S",VFR Diurna/Noturna,,3 18,Quadrado,20m x 20m,Aguardando dados,Aguardando dados,Aguardando dados,PA2015-0913,https://pergamum.anac.gov.br/arquivos/PA2015-0913.pdf
SDVR,SP0436,Pátio Victor Malzoni,SÃO PAULO,"046°40'54,0""O","23°35'12,0""S",VFR Diurna/Noturna,,8 25,Quadrado,30m x 30m,Aguardando dados,Aguardando dados,Aguardando dados,PA2015-0176,https://pergamum.anac.gov.br/arquivos/PA2015-0176.pdf
SJMG,SP0634,Mega Mix,SÃO PAULO,"046°37'07,0""O","23°32'09,0""S",VFR Diurna/Noturna,,11,Quadrado,19.6m x 19.6m,,Concreto,26/01/2025,,
SJNS,SP0636,Grupo Souza Lima,SÃO PAULO,"046°32'40,0""O","23°32'05,0""S",VFR Diurna/Noturna,,17,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,PA2017-0618,https://pergamum.anac.gov.br/arquivos/PA2017-0618.pdf
SJOZ,SP0644,Faria Lima Square,SÃO PAULO,"046°40'58,0""O","23°35'19,0""S",VFR Diurna/Noturna,,16,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,PA2015-1851,https://pergamum.anac.gov.br/arquivos/PA2015-1851.pdf
SJPB,SP0645,Guarapiranga Golf,SÃO PAULO,"046°46'54,0""O","23°47'15,0""S",VFR Diurna/Noturna,,16,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,Aguardando dados,PA2012-0635,https://pergamum.anac.gov.br/arquivos/PA2012-0635.pdf
SJRQ,SP0654,Hospital São Camilo Pompéia,SÃO PAULO,"046°41'18,0""O","23°32'02,0""S",VFR Diurna/Noturna,,5 24,Quadrado,24m x 24m,Aguardando dados,Aguardando dados,14/12/2021,Aguardando dados,
SJRZ,SP0656,João Domingues de Araújo,SÃO PAULO,"046°41'38,0""O","23°36'16,6""S",VFR Diurna/Noturna,,36,Quadrado,20m x 20m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
SJSI,SP0657,Transportadora Americana,SÃO PAULO,"046°44'18,4""O","23°30'53,8""S",VFR Diurna/Noturna,,20,Quadrado,19.5m x 19.5m,,Concreto,,,
SJTD,SP0661,Plaza JK,SÃO PAULO,"046°41'06,0""O","23°35'27,0""S",VFR Diurna/Noturna,,6,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,PA2015-1365,
SJTV,SP0663,Tivoli Center,SÃO PAULO,"046°44'12,0""O","23°37'43,0""S",VFR Diurna/Noturna,,3,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,PA2014-1764,
SJTY,SP0664,Tivoli Mofarrej,SÃO PAULO,"046°39'21,0""O","23°33'51,0""S",VFR Diurna/Noturna,,4,Quadrado,19.5m x 19.5m,,Concreto,,,
SJWZ,SP0676,E-Tower,SÃO PAULO,"046°41'25,0""O","23°35'38,0""S",VFR Diurna/Noturna,,16,Quadrado,21m x 21m,Aguardando dados,Aguardando dados,Aguardando dados,PA2013-1215,
SJVC,SP0669,Vivicon,SÃO PAULO,"046°40'02,0""O","23°30'47,0""S",VFR Diurna/Noturna,,8,Quadrado,19.5m x 19.5m,,Concreto,,,
SIDL,SP0481,Deus é Amor,SÃO PAULO,"046°37'29,0""O","23°33'21,0""S",VFR Diurna/Noturna,,31,Quadrado,18m x 18m,Aguardando dados,Aguardando dados,Aguardando dados,Aguardando dados,
